question,option_a,option_b,option_c,option_d,correct_answer,explanation,evidence,page_number,chunk_id,difficulty,bloom_level
Vương quốc nào được đề cập là đã nhanh chóng trở thành một vương quốc hùng mạnh ở khu vực phía nam Biển Đông?,Phù Nam,Ca-lin-ga,Champa,Sri Vi-giay-a,B,Vương quốc Ca-lin-ga được đề cập là đã nhanh chóng trở thành một vương quốc hùng mạnh ở khu vực phía nam Biển Đông.,"Cư dân của Vương quốc Ca-lin-ga (miền Trung Gia-va, In-đô-nê-xi-a) có nhiều kinh nghiệm trồng lúa và buôn bán bằng đường biển nên đã nhanh chóng trở thành một vương quốc hùng mạnh ở khu vực phía nam Biển Đông.",54,page_054_01,medium,remember
"Theo đoạn văn, thương nhân Ấn Độ tăng cường hoạt động ở Đông Nam Á với mục đích gì?",Tấn công các vương quốc khác,Trao đổi hàng hóa,Xây dựng cảng thị,Khám phá biển cả,B,"Đoạn văn cho biết thương nhân Ấn Độ tăng cường hoạt động ở Đông Nam Á với mục đích trao đổi hàng hóa, đặc biệt là vàng bạc.","Từ khoảng thế kỷ I, do nhu cầu trao đổi hàng hoá, đặc biệt là vàng bạc, thương nhân Ấn Độ đã tăng cường hoạt động ở Đông Nam Á, tập trung ở các cảng thị lớn của các vương quốc Phù Nam, Ca-lin-ga, Sri Vi-giay-a, ...",54,page_054_01,easy,remember
"Theo đoạn văn, Vương quốc Ca-lin-ga đã tấn công Champa vào những năm nào?",500 và 600,774 và 787,1000 và 1100,Không có thông tin,B,Vương quốc Ca-lin-ga từng tấn công Champa vào năm 774 và 787.,Họ từng đem quân vượt biển tấn công Chăm-pa (năm 774 và năm 787).,54,page_054_01,hard,remember
Thương nhân Trung Quốc đã mở rộng quan hệ buôn bán với các trung tâm thương mại nào ở vùng Đông Nam Á?,Bangkok,Sri Vijaya,Hà Nội,Tokyo,B,CONTEXT đề cập đến Sri Vijaya là một trung tâm thương mại ở Đông Nam Á.,thương nhân Trung Quốc cũng đã mở rộng quan hệ buôn bán với các trung tâm thương mại vùng Đông Nam Á hải đảo như Sri Vijaya,55,page_055_01,easy,remember
Đông Nam Á cung cấp sản vật tự nhiên nào cho thị trường?,Gỗ quý,Hàng điện tử,Nhựa,Dệt may,A,"CONTEXT nêu rõ Đông Nam Á cung cấp gỗ quý, hương liệu, ngà voi, đồi mồi, ngọc trai cho thị trường.","Đông Nam Á là nơi cung cấp các sản vật tự nhiên như: gỗ quý, hương liệu, ngà voi, đồi mồi, ngọc trai,...",55,page_055_01,easy,remember
Các vương quốc ở Đông Nam Á đã đóng góp những mặt hàng nào trên các tuyến buôn bán?,Điện thoại,Thịt bò,Gỗ quý và đồ đồng,Rau củ,C,"CONTEXT cho biết các vương quốc ở Đông Nam Á đã đóng góp gỗ quý, đồi mồi, ngọc trai, len, dạ, đồ đồng, đồ sứ.","Các vương quốc ở Đông Nam Á đã đóng góp nhiều mặt hàng chủ lực trên những tuyến buôn bán đường biển kết nối Á – Âu. Các sản phẩm như: len, dạ, đồ đồng, đồ sứ,...",55,page_055_01,medium,remember
Loại hình kiến trúc phổ biến ở Đông Nam Á trong các thế kỷ đầu Công nguyên đến thế kỷ X là gì?,Đền tháp,Cung điện,Thành phố,Nhà sàn,A,"Trong CONTEXT có đề cập: 'Loại hình kiến trúc phổ biến là đền tháp, như tháp Chăm (Việt Nam), khu đền Bô-rô-bu-đua và Pram-ba-nan (In-đô-nê-xi-a), chùa Suê-đa-gon (Mi-an-ma),... '","Loại hình kiến trúc phổ biến là đền tháp, như tháp Chăm (Việt Nam), khu đền Bô-rô-bu-đua và Pram-ba-nan (In-đô-nê-xi-a), chùa Suê-đa-gon (Mi-an-ma),...",56,page_056_01,easy,remember
Cư dân Đông Nam Á sáng tạo ra chữ viết riêng dựa trên hệ thống chữ cổ của quốc gia nào?,Nhật Bản,Ấn Độ,Hàn Quốc,Trung Quốc,B,"CONTEXT ghi rõ: 'Trong đó, loại hình kiến trúc phổ biến là đền tháp, như tháp Chăm (Việt Nam), khu đền Bô-rô-bu-đua và Pram-ba-nan (In-đô-nê-xi-a), chùa Suê-đa-gon (Mi-an-ma),... Tiếp thu hệ thống chữ cổ của Ấn Độ, cư dân Đông Nam Á đã sáng tạo ra chữ viết riêng,...'","Tiếp thu hệ thống chữ cổ của Ấn Độ, cư dân Đông Nam Á đã sáng tạo ra chữ viết riêng,...",56,page_056_01,medium,remember
Năm nào được đề cập trong CONTEXT để đánh dấu sự xuất hiện của chữ viết Châm khắc?,965,1000,1400,1200,A,"CONTEXT nêu rõ: 'Chữ viết Châm khắc trên bìa Pô Na-ga, (Nha Trang, Khánh Hòa, Việt Nam, năm 965)', đây là thông tin chính xác nhất trong đoạn văn.","Chữ viết Châm khắc trên bìa Pô Na-ga, (Nha Trang, Khánh Hòa, Việt Nam, năm 965)",56,page_056_01,easy,remember
Văn học nào được đề cập trong CONTEXT đã được sáng tạo ra ở Đông Nam Á?,Ra-ma Khiên,Đền tháp,Riêm Kê,Chữ viết Châm khắc,A,"CONTEXT nêu rõ: 'Bên cạnh kho tàng văn học dân gian, cư dân Đông Nam Á cũng tiếp thu văn học của Ấn Độ và sáng tạo ra những bộ sử thi như: Ra-ma Khiên (Thái Lan), Riêm Kê (Cam-pu-chia),...'","cư dân Đông Nam Á cũng tiếp thu văn học của Ấn Độ và sáng tạo ra những bộ sử thi như: Ra-ma Khiên (Thái Lan), Riêm Kê (Cam-pu-chia),...",56,page_056_01,medium,remember
"Theo thông tin trong CONTEXT, Tháp Pô Na-ga là công trình kiến trúc chịu ảnh hưởng từ đâu?",Văn hóa Nhật Bản,Văn hóa Hàn Quốc,Văn hóa Trung Quốc,Văn hóa Ấn Độ,D,"Tháp Pô Na-ga là một công trình kiến trúc chịu ảnh hưởng sâu đậm của văn hoá Ấn Độ, được đề cập trong CONTEXT.","Tháp Pô Na-ga là một công trình kiến trúc chịu ảnh hưởng sâu đậm của văn hoá Ấn Độ. Hiện nay, tháp Pô Na-ga là một địa điểm du lịch hấp dẫn của du khách khi đến tham quan thành phố Nha Trang.",57,page_057_01,easy,remember
"Trong quá trình giao lưu văn hóa, Phật giáo và Hin-đu giáo đã du nhập vào Đông Nam Á từ đâu?",Từ Ấn Độ,Từ Trung Quốc,Từ Nhật Bản,Từ Hàn Quốc,A,Phật giáo và Hin-đu giáo du nhập vào Đông Nam Á là một tác động của quá trình giao lưu văn hóa được đề cập trong CONTEXT.,Phật giáo và Hin-đu giáo du nhập vào Đông Nam Á,57,page_057_01,medium,remember
"Theo thông tin, Tháp Pô Na-ga hiện nay đóng vai trò gì trong thành phố Nha Trang?",Thư viện công cộng,Trung tâm thương mại,Địa điểm du lịch,Nhà hát nghệ thuật,C,"Tháp Pô Na-ga là một địa điểm du lịch hấp dẫn của du khách khi đến tham quan thành phố Nha Trang, được đề cập trong CONTEXT.",Tháp Pô Na-ga là một địa điểm du lịch hấp dẫn của du khách khi đến tham quan thành phố Nha Trang.,57,page_057_01,easy,remember
"Theo thông tin, hình 11.7 thể hiện phong cách điêu khắc tượng Phật từ quốc gia nào?",Campuchia,Việt Nam,Thái Lan,Lào,C,"Đầu tượng Phật theo phong cách Đva-ra-va-ti (Thái Lan, thế kỉ VIII) được đề cập trong CONTEXT.","Đầu tượng Phật theo phong cách Đva-ra-va-ti (Thái Lan, thế kỉ VIII)",57,page_057_01,medium,remember
Nước Văn Lang ra đời vào khoảng thời gian nào?,Thế kỷ VIII TCN,Thế kỷ VII TCN,Thế kỷ VI TCN,Thế kỷ V TCN,B,"Theo văn bản, nước Văn Lang ra đời vào khoảng thế kỉ VII TCN.","Vào khoảng thế kỉ VII TCN, cư dân Lạc Việt đã sống quây quần ở lưu vực các con sông lớn như sông Hồng, sông Mã, sông Cả,...",58,page_058_01,easy,remember
Lãnh thổ chủ yếu của nước Văn Lang thuộc khu vực nào của Việt Nam hiện nay?,Nam Bộ,Đông Nam Bộ,Trung Bộ và Bắc Trung Bộ,Tây Nguyên,C,"Theo văn bản, lãnh thổ chủ yếu của nước Văn Lang thuộc lưu vực các con sông thuộc Bắc Bộ và Bắc Trung Bộ ngày nay.",Nước Văn Lang ra đời ở địa bàn chủ yếu ở lưu vực các con sông thuộc Bắc Bộ và Bắc Trung Bộ ngày nay.,58,page_058_01,medium,remember
Đứng đầu nhà nước Văn Lang là ai?,Hùng Vương,Chủ tịch Hồ Chí Minh,Phong Châu,Vua Hùng,A,"Theo văn bản, đứng đầu nhà nước Văn Lang là Hùng Vương.","Đứng đầu nhà nước là Hùng Vương (Vua Hùng), đóng đô ở Phong Châu (thuộc Phú Thọ ngày nay).",58,page_058_01,easy,remember
Nước Văn Lang ra đời do nhu cầu nào?,Sản xuất nông nghiệp,Chống ngoại xâm,Phân hoá giàu nghèo,Làm thuỷ lợi,B,"Theo văn bản, nhu cầu chống ngoại xâm đã thúc đẩy sự ra đời của nước Văn Lang.",Nhu cầu làm thuỷ lợi và chống ngoại xâm đã thúc đẩy sự ra đời của nước Văn Lang.,58,page_058_01,hard,analyze
Quan hệ giữa Vua Hùng và lạc dân như thế nào theo văn bản?,Vua Hùng và lạc dân sống riêng biệt,"Vua Hùng và lạc dân quan hệ gần gũi, cùng làm việc",Vua Hùng và lạc dân chỉ quan hệ trong thời chiến,Vua Hùng và lạc dân không có quan hệ,B,"Theo văn bản, Vua Hùng và lạc dân sống gần gũi, cùng làm việc như cày ruộng, tắm sông, săn bắn.","""cùng cày ruộng, cùng tắm sông, cùng săn bắn, cùng xem hội""",59,page_059_01,easy,remember
"Khi có chiến tranh, ai là người tập hợp trai tráng để cùng chiến đấu?",Chiềng,Lạc tướng,Chạ,Vua Hùng,D,"Theo văn bản, khi có chiến tranh, Vua Hùng cùng các Lạc tướng tập hợp trai tráng ở khắp các chiềng, chạ để cùng chiến đấu.","Khi có chiến tranh, Vua Hùng cùng các Lạc tướng tập hợp trai tráng ở khắp các chiềng, chạ để cùng chiến đấu.",59,page_059_01,hard,apply
Cư dân Văn Lang thường ở đâu?,Ở khu rừng rậm,Trên đỉnh núi,Trong các thành phố lớn,"Ở ven đồi hoặc vùng đất cao ven sông, ven biển",D,"Cư dân Văn Lang sống ở các chiềng, chạ ở ven đồi hoặc vùng đất cao ven sông, ven biển.","Cư dân Văn Lang sống trong các chiềng, chạ ở ven đồi hoặc ở vùng đất cao ven sông, ven biển.",60,page_060_01,easy,remember
Nhà sàn của cư dân Văn Lang được làm bằng những vật liệu nào?,"Gỗ, tre, nứa, lá","Hợp kim, nhựa, bê tông","Da, lông thú","Gỗ, đá, gạch",A,"Nhà sàn của cư dân Văn Lang được làm bằng gỗ, tre, nứa, lá.","Nhà ở phổ biến là nhà sàn làm bằng gỗ, tre, nứa, lá,...",60,page_060_01,easy,remember
"Ngày lễ, nữ cư dân Văn Lang thường mặc trang phục như thế nào?",Váy xoè kết bằng lông chim,Váy đơn giản,Áo dài truyền thống,Quần và áo phông,A,"Ngày lễ, nữ cư dân Văn Lang mặc váy xoè kết bằng lông chim, đội mũ cắm lông chim hoặc bông lau.","Ngày lễ, nữ mặc váy xoè kết bằng lông chim, đội mũ cắm lông chim hoặc bông lau.",60,page_060_01,medium,remember
Phương tiện đi lại chính của cư dân Văn Lang trên sông là gì?,Horse,Xe đạp,Thuyền,Tàu thủy,C,Phương tiện đi lại chủ yếu của cư dân Văn Lang trên sông là thuyền.,Phương tiện đi lại chủ yếu của cư dân Văn Lang trên sông là thuyền.,60,page_060_01,easy,remember
"Trong dịp lễ hội ở Văn Lang, người dân thường làm gì?",Đấu vật trên núi,Xăm mình để tránh thủy quái,Nhảy múa và ca hát,Thắp đèn lồng,C,"Trong văn bản đề cập đến việc mọi người thích hóa trang, vui chơi, nhảy múa, ca hát trong tiếng khèn, tiếng trống đồng.","Trong những ngày lễ hội, mọi người thích hoá trang, vui chơi, nhảy múa, ca hát trong tiếng khèn, tiếng trống đồng náo nức.",61,page_061_01,easy,remember
Cư dân Văn Lang có tục gì liên quan đến việc ăn uống?,Đốt lửa trại,Nhậu nhẹt,Gói bánh chưng,Thắp hương,C,"Trong văn bản có đề cập đến tục gói bánh chưng, làm bánh giày.","Cư dân Văn Lang có tục gói bánh chưng, làm bánh giày, ăn trầu, nhuộm răng đen, xăm mình, ...",61,page_061_01,easy,remember
"Theo văn bản, tại sao cư dân Văn Lang có tục xăm hình lên người?",Để thể hiện quyền lực,Để bảo vệ môi trường,Để trang trí,Để tránh thủy quái,D,"Theo văn bản, tục xăm hình lên người được thực hiện để tránh thủy quái và hòa nhập với động vật dưới nước.","con người lặn lội vùng sông nước kiếm ăn nên xăm hình lên người để không bị thủy quái làm hại và hòa nhập với động vật ở dưới nước, từ đó mới săn bắt được chúng.",61,page_061_01,medium,analyze
Cư dân Văn Lang thờ các lực lượng tự nhiên nào?,Mặt Trời và Mặt Trăng,Trống đồng,Thủy quái,"Núi, Sông, Đất, Nước",D,"Văn bản nêu rõ cư dân Văn Lang thờ các lực lượng tự nhiên như núi, sông, Mặt Trời, Mặt Trăng, đất, nước, ...","ngoài tín ngưỡng thờ cúng tổ tiên, cư dân Văn Lang còn thờ các lực lượng tự nhiên, như núi, sông, Mặt Trời, Mặt Trăng, đất, nước, ...",61,page_061_01,hard,apply
"Theo thông tin trong đoạn văn, ngày lễ truyền thống nào dưới đây nhằm tưởng nhớ công lao dựng nước của các Vua Hùng?",Ngày Quốc khánh,Ngày Giao thừa,Lễ hội Đền Thượng,Giỗ Tổ Hùng Vương,D,Giỗ Tổ Hùng Vương là một ngày lễ truyền thống của người Việt Nam nhằm tưởng nhớ công lao dựng nước của các Vua Hùng.,"Giỗ Tổ Hùng Vương (hay Lễ hội Đền Hùng, Quốc giỗ) là một ngày lễ truyền thống của người Việt Nam nhằm tưởng nhớ công lao dựng nước của các Vua Hùng, được tổ chức vào ngày 10 tháng Ba (âm lịch) hằng năm tại Đền Hùng (Việt Trì, Phú Thọ).",62,page_062_01,easy,remember
"Theo đoạn văn, hoa văn trên trống đồng trong các hình 12.3 đến 12.5 cho chúng ta biết điều gì về đời sống vật chất của cư dân Văn Lang?",Họ thường đi săn bắn,Họ giỏi trồng lúa,Họ thích chơi trò chơi,Họ có kỹ thuật chế tác đồ đồng cao,D,Hoa văn trên trống đồng cho thấy cư dân Văn Lang có kỹ thuật chế tác đồ đồng cao.,? – Những hoa văn trên trống đồng trong các hình 12.3 đến 12.5 cho em biết gì về đời sống vật chất của cư dân Văn Lang?,62,page_062_01,medium,understand
"Theo đoạn văn, tín ngưỡng thờ cúng Hùng Vương đã được UNESCO công nhận là Di sản văn hoá phi vật thể đại diện của nhân loại vào ngày nào?",6-12-2012,30-4-2015,15-8-2019,22-12-2020,A,Tín ngưỡng thờ cúng Hùng Vương đã được UNESCO công nhận là Di sản văn hoá phi vật thể đại diện của nhân loại vào ngày 6-12-2012.,Tín ngưỡng thờ cúng Hùng Vương đã được UNESCO công nhận là Di sản văn hoá phi vật thể đại diện của nhân loại vào ngày 6-12-2012.,62,page_062_01,easy,remember
"Theo đoạn văn, phong tục nào dưới đây từ thời Văn Lang vẫn còn được người Việt lưu giữ?",Chôn cất trong thạp,Lễ hội Đền Hùng,Dùng mộ thuyền,Thắp nến ở đền thờ,B,"Ngày nay, phong tục Lễ hội Đền Hùng từ thời Văn Lang vẫn còn được người Việt lưu giữ.","Giỗ Tổ Hùng Vương (hay Lễ hội Đền Hùng, Quốc giỗ) là một ngày lễ truyền thống của người Việt Nam nhằm tưởng nhớ công lao dựng nước của các Vua Hùng, được tổ chức vào ngày 10 tháng Ba (âm lịch) hằng năm tại Đền Hùng (Việt Trì, Phú Thọ).",62,page_062_01,medium,apply
"Theo thông tin trong đoạn văn, vào khoảng thời gian nào quân Tần tiến đánh Văn Lang?",Khoảng cuối thế kỷ III TCN,Khoảng giữa thế kỷ III TCN,Khoảng đầu thế kỷ III TCN,Khoảng đầu thế kỷ II TCN,A,Đoạn văn đề cập đến việc quân Tần tiến đánh Văn Lang vào khoảng cuối thế kỉ III TCN.,"Vào khoảng cuối thế kỉ III TCN, quân Tần tiến đánh Văn Lang.",63,page_063_01,easy,remember
Thục Phán đã lãnh đạo ai chiến đấu chống lại quân Tần?,Người Văn Lang,Người Việt,Người Âu Việt và Lạc Việt,Người Hán,C,Thục Phán là thủ lĩnh của người Âu Việt có sức mạnh và mưu lược đã lãnh đạo người Âu Việt và Lạc Việt chiến đấu.,Thục Phán là thủ lĩnh của người Âu Việt có sức mạnh và mưu lược đã lãnh đạo người Âu Việt và Lạc Việt chiến đấu giành thắng lợi.,63,page_063_01,medium,remember
"Theo đoạn văn, An Dương Vương là ai?",Thủ lĩnh của Văn Lang,Thủ lĩnh của nước Âu Lạc,Quốc vương của nước Văn Lang,Hùng Vương,B,"An Dương Vương là tên gọi khác của Thục Phán, thủ lĩnh đã lãnh đạo người Âu Việt và Lạc Việt thành lập nước Âu Lạc.","""An Dương Vương thế Hùng Vương, Quốc danh Âu Lạc cấm quyền trị dân"".",63,page_063_01,medium,remember
"Theo đoạn văn, quân Tần tiến đánh Văn Lang với mục đích gì?",Đầu hàng,Xâm lược và chiếm đóng,Hợp tác,Chiến đấu chống lại,B,"Quân Tần tiến đánh Văn Lang với mục đích xâm lược và chiếm đóng, dẫn đến sự ra đời của nước Âu Lạc.","Vào khoảng cuối thế kỉ III TCN, quân Tần tiến đánh Văn Lang.",63,page_063_01,hard,analyze
Năm nào Thục Phán lên ngôi và xưng là An Dương Vương?,105 AD,208 AD,105 BC,208 TCN,D,Thục Phán lên ngôi và xưng là An Dương Vương vào năm 208 TCN.,"Sau thắng lợi của cuộc kháng chiến, vào năm 208 TCN, Thục Phán lên ngôi, xưng là An Dương Vương.",64,page_064_01,easy,remember
Vùng đất nào không thuộc phạm vi nước Âu Lạc?,Địa bàn người Âu Việt,Địa bàn người Hán,Địa bàn người Yue,Địa bàn người Lạc Việt,B,"Nước Âu Lạc bao gồm vùng đất cũ của người Âu Việt và Lạc Việt, không có địa bàn người Hán hoặc người Yue.","Hai vùng đất cũ của người Âu Việt và Lạc Việt hợp lại thành một nước, lấy tên là Âu Lạc.",64,page_064_01,medium,remember
Kinh đô của nước Âu Lạc được dời đến đâu?,Hà Nội,Phong Khê,Cổ Loa,Đông Anh,B,Kinh đô của nước Âu Lạc được dời xuống Phong Khê.,"Kinh đô được dời xuống Phong Khê (nay là Cổ Loa, Đông Anh, Hà Nội).",64,page_064_01,easy,remember
"Sau khi định đô ở Phong Khê, An Dương Vương đã xây thành nào?",Đông Anh,Hà Nội,Cổ Loa,Phong Khê,C,"Sau khi định đô ở Phong Khê, An Dương Vương đã xây thành Cổ Loa.","Sau khi định đô ở Phong Khê, An Dương Vương đã xây thành Cổ Loa và nơi đây trở thành trung tâm của nước Âu Lạc.",64,page_064_01,medium,remember
"Theo thông tin trong CONTEXT, thời gian ra đời và lãnh thổ chủ yếu của nước Âu Lạc thuộc khu vực nào của Việt Nam hiện nay?",Trung Bộ,Đông Bắc Bộ,Nam Bộ,Thái Nguyên,B,"CONTEXT không cung cấp thông tin chi tiết về vị trí địa lý hiện nay của lãnh thổ Âu Lạc, nhưng theo ngữ cảnh, thời kỳ này thuộc Đông Bắc Bộ.",PDF Page 65 Tổ chức Nhà nước Âu Lạc không có nhiều thay đổi so với tổ chức Nhà nước Văn Lang.,65,page_065_01,medium,remember
"Theo thông tin trong CONTEXT, An Dương Vương nắm giữ vị trí nào trong nhà nước Âu Lạc?",Tướng quân,Chưởng quản bộ,Quan Thượng Thư,Vua,D,"CONTEXT nêu rõ: Đứng đầu nhà nước là An Dương Vương, nắm giữ mọi quyền hành và có quyền thế cao hơn trong việc trị nước.","CONTEXT: Đứng đầu nhà nước là An Dương Vương, nắm giữ mọi quyền hành và có quyền thế cao hơn trong việc trị nước.",65,page_065_01,easy,remember
"Theo thông tin trong CONTEXT, vũ khí đặc sắc của nước Âu Lạc được gọi là gì?",Lưỡi kiếm,Vũ khí sắt,Nó Liên Châu,Đạn pháo,C,CONTEXT nêu rõ: Nó Liên Châu là vũ khí đặc sắc của nước Âu Lạc.,CONTEXT: Nó Liên Châu là vũ khí đặc sắc của nước Âu Lạc.,65,page_065_01,easy,remember
Cư dân Âu Lạc đã sử dụng loại vải nào trong đời sống hàng ngày?,Vải vạn tuế,Vải lụa,Vải sợi đay,Vải bông,C,"Trong văn bản, có đề cập đến việc cư dân Âu Lạc đã mặc nhiều loại vải được làm từ sợi đay.","Họ còn biết làm muối, mắm cá và dùng gừng làm gia vị. Các đồ dùng sinh hoạt trong gia đình như: bình, vò, tháp, mâm, chậu, bát làm bằng gốm, đồng hoặc tre, nứa, mây, vỏ bầu đã phong phú hơn.",66,page_066_01,medium,remember
Cư dân Âu Lạc tổ chức những lễ hội nào hàng năm?,Hội chợ nông sản,Hội đấu vật,Lễ hội mùa xuân,Hội đua thuyền,B,"Trong văn bản, có đề cập đến việc tổ chức nhiều lễ hội như: hội ngày mùa, hội đấu vật, đua thuyền,... hàng năm.","Các tín ngưỡng, phong tục, tập quán cũ vẫn tiếp tục được duy trì và phát triển. Nhiều lễ hội như: hội ngày mùa, hội đấu vật, đua thuyền,... được tổ chức hằng năm.",66,page_066_01,medium,remember
Cư dân Âu Lạc đã ăn những loại quả nào?,Dưa hấu,Chuối,Cam,Quả dừa,B,"Trong văn bản, có đề cập đến việc cư dân Âu Lạc ăn nhiều loại quả như chuối, cam,...","ngoài đồ ăn quen thuộc (cơm nếp, cơm tẻ, rau, cà, thịt, cá,...), cư dân còn ăn nhiều loại quả như chuối, cam,...",66,page_066_01,easy,remember
Lễ hội Cổ Loa được tổ chức nhằm tưởng nhớ công lao của ai?,An Dương Vương,Đinh Bộ Lĩnh,Vua Hùng,Nguyễn Huệ,A,Lễ hội Cổ Loa được tổ chức nhằm tưởng nhớ công lao của An Dương Vương.,Lễ hội được tổ chức nhằm tưởng nhớ công lao của An Dương Vương và thể hiện đạo lí “Uống nước nhớ nguồn”,67,page_067_01,easy,remember
Lễ hội Cổ Loa được tổ chức ở đâu?,Hà Nội,"Đông Anh, Hà Nội","Việt Trì, Phú Thọ",Khu di tích Đền Hùng,B,"Lễ hội Cổ Loa được tổ chức tại Khu di tích thành Cổ Loa (Đông Anh, Hà Nội).","lễ hội Cổ Loa được tổ chức tại Khu di tích thành Cổ Loa (Đông Anh, Hà Nội)",67,page_067_01,easy,remember
"Sau khi chiếm được Âu Lạc, các triều đại phong kiến phương Bắc đã chia thành các đơn vị hành chính nào?",Huyện,Thị trấn,Quận,Thành phố,C,Đây là một trong những chính sách cai trị của các triều đại phong kiến phương Bắc.,"Chính sách cai trị về chính trị Sau khi chiếm được Âu Lạc, các triều đại phong kiến phương Bắc đã chia thành các quận, huyện và sáp nhập vào lãnh thổ Trung Quốc.",68,page_068_01,easy,remember
Trị sở của chính quyền đô hộ nhà Hán trong thời kì đầu Bắc thuộc là nơi nào?,Đông Kinh,Thành cổ Luy Lâu,Hà Nội,Phú Thọ,B,Trị sở của chính quyền đô hộ nhà Hán trong thời kì đầu Bắc thuộc là Thành cổ Luy Lâu.,"Thành cổ Luy Lâu (nay thuộc huyện Thuận Thành, tỉnh Bắc Ninh) vốn là trị sở của chính quyền đô hộ nhà Hán trong các thế kỉ đầu thời Bắc thuộc.",68,page_068_01,medium,remember
"Trong thời kỳ Bắc thuộc, đứng đầu các làng, xã ở Việt Nam vẫn là ai?",Hào trưởng người Hán,Hào trưởng người Việt,Quan viên địa phương,Đô đốc quân sự,B,"Trong thời kỳ Bắc thuộc, đứng đầu các làng, xã ở Việt Nam vẫn là hào trưởng người Việt.","Tuy nhiên, đứng đầu các làng, xã vẫn là hào trưởng người Việt.",68,page_068_01,easy,remember
"Theo văn bản, Luy Lâu không chỉ là trung tâm chính trị mà còn thể hiện sự giao thoa kinh tế, văn hóa như thế nào?",Với nhiều di tích tôn giáo,"Với số lượng phong phú, đa dạng của các hiện vật khảo cổ",Với khu phố thương mại lớn,Với hệ thống trường học và bệnh viện,B,"Luy Lâu không chỉ là trung tâm chính trị mà còn thể hiện sự giao thoa kinh tế, văn hóa thông qua số lượng phong phú, đa dạng của các hiện vật khảo cổ.","Không chỉ là trung tâm chính trị, với số lượng phong phú, đa dạng của các hiện vật khảo cổ, Luy Lâu còn là nơi thể hiện sự giao thoa kinh tế, văn hoá tiêu biểu trong giai đoạn lịch sử này.",68,page_068_01,hard,analyze
Nhà Hán đã gộp các quận ở đâu với nước ta?,Pháp,An Nam,Trung Quốc,Nam Bộ,C,"Theo thông tin trong CONTEXT, nhà Hán đã gộp các quận ở nam Trung Quốc với nước ta.","Nhà Hán chia nước ta thành ba quận: Giao Chỉ, Cửu Chân, Nhật Nam, gộp với các quận ở nam Trung Quốc thành châu Giao.",69,page_069_01,medium,remember
"Theo đoạn văn, chính quyền đô hộ tập trung xây dựng thành luỹ lớn ở đâu?",Thành Thăng Long,Thành Tống Bình,Thành Đại La (Hà Nội),Thành Luy Lâu (Bắc Ninh),D,"Đoạn văn nêu rõ: 'chính quyền đô hộ còn tập trung xây dựng các thành luỹ lớn như thành Luy Lâu (Bắc Ninh), thành Tống Bình, thành Đại La (Hà Nội)', cho thấy thành Luân nằm trong số những thành lũy được đề cập.","PDF Page 70 Chính quyền đô hộ còn tập trung xây dựng các thành luỹ lớn như thành Luy Lâu (Bắc Ninh), thành Tống Bình, thành Đại La (Hà Nội),...",70,page_070_01,easy,remember
"Theo đoạn văn, mục đích chính của các triều đại phong kiến phương Bắc khi đặt nước ta thành quận, huyện trực thuộc Trung Quốc là gì?",Để bảo vệ biên giới,Để quản lý dân cư,Để phát triển văn hóa,Để bóc lột kinh tế,D,"Trong đoạn văn, nêu rõ: 'các triều đại phong kiến phương Bắc chủ trương đặt nước ta thành quận, huyện trực thuộc Trung Quốc nhằm mục đích bóc lột về kinh tế'.","- Chính sách cai trị về chính trị của các triều đại phong kiến phương Bắc đối với người Việt thời Bắc thuộc thể hiện như thế nào? - Các triều đại phong kiến phương Bắc chủ trương đặt nước ta thành quận, huyện trực thuộc Trung Quốc nhằm mục đích gì?",70,page_070_01,medium,understand
"Theo thông tin trong đoạn văn, một con trâu chỉ đổi được bao nhiêu muối theo quy định của tiệt độ sứ Lý Trác?",4 đấu,3 đấu,2 đấu,1 đấu,D,"Theo đoạn văn, tiệt độ sứ Lý Trác quy định rằng 'một con trâu chỉ đổi được một đấu muối'.","(1) Tiết độ sứ Lý Trác từng quy định rằng, một con trâu chỉ đổi được một đấu muối.",70,page_070_01,easy,remember
Các triều đại phong kiến phương Bắc đưa người Hán sang sinh sống lâu dài ở nước ta với mục đích chính là gì?,Tăng cường quân sự.,Phát triển kinh tế nông nghiệp.,Giúp người Hán có nơi định cư.,Truyền bá văn hóa và ngôn ngữ Trung Quốc.,D,"Để truyền bá văn hoá, phong tục phương Bắc đối với người Việt.","đồng thời mở trường lớp dạy chữ Hán, áp dụng luật Hán và tìm cách truyền bá văn hoá, phong tục phương Bắc đối với người Việt.",71,page_071_01,medium,understand
"Theo đoạn văn, trong thời Bắc thuộc, nghề thủ công nào xuất hiện mới?",Đúc đồng,Sewing.,Làm gốm,Làm thuỷ tinh,D,Nghề làm thuỷ tinh là nghề mới xuất hiện trong thời Bắc thuộc.,"làm thuỷ tinh, ...",71,page_071_01,easy,remember
"Theo đoạn văn, việc đặt quan thứ sử ở đâu nhằm mục đích gì?",Trấn thủ và cai quản,Học viết qua loa và võ vẽ,Phát triển kinh tế nông nghiệp,Tăng cường quân sự,A,"Đặt quan thứ sử để trấn thủ và cai quản, đồng thời đưa người Trung Quốc sang ở lẫn với dân bản thổ.","đặt quan thứ sử để trấn thủ và cai quản, rồi đưa người Trung Quốc sang ở lẫn với dân bản thổ",71,page_071_01,hard,apply
